CNPJ,CVM,DENOM_CIA,DT_REFER,ANO_REFER,ativo_total,ativo_circulante,recebiveis,imobilizado,passivo_circulante,divida_longo_prazo,receita_liquida,resultado_bruto,despesas_vendas,despesas_gerais_adm,resultado_liquido,depreciacao,fco
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2020-12-31,2020,22606775.0,15779801.0,1838917.0,639129.0,5331073.0,7331084.0,10124347.0,2877091.0,-1705978.0,-829353.0,-210758.0,-601763.0,-61768.0
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2021-12-31,2021,44518812.0,21912888.0,7021579.0,7825191.0,13336854.0,11287837.0,22695861.0,6761767.0,-3990108.0,-1774476.0,543795.0,-1300292.0,-825649.0
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2022-12-31,2022,31292260.0,17048712.0,5469816.0,8311668.0,49939075.0,0.0,25808906.0,5023688.0,-4855800.0,-4183560.0,-12911538.0,-1608238.0,-6207579.0
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2023-12-31,2023,27115000.0,10727000.0,2380000.0,6466000.0,49275000.0,0.0,14942000.0,4356000.0,-4134000.0,-3180000.0,-2272000.0,-1374000.0,-245000.0
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2024-12-31,2024,17465000.0,7078000.0,1796000.0,5354000.0,4382000.0,1733000.0,14349000.0,4627000.0,-3577000.0,-2137000.0,8281000.0,-1010000.0,-3547000.0
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2025-12-31,2025,16249000.0,7771000.0,1467000.0,4222000.0,4664000.0,1995000.0,12305000.0,3324000.0,-2720000.0,-1462000.0,-271000.0,-808000.0,561000.0
04626426000106,27774,BTG PACTUAL COMMODITIES SERTRADING S.A.,2024-12-31,2024,7063042.0,7011869.0,1977496.0,14834.0,2675862.0,0.0,15968815.0,497863.0,-12039.0,-129907.0,292501.0,-5170.0,-946650.0
04626426000106,27774,BTG PACTUAL COMMODITIES SERTRADING S.A.,2025-12-31,2025,35973228.0,33625984.0,5853869.0,905489.0,8758460.0,13931195.0,13010932.0,502029.0,0.0,-259258.0,1090694.0,-13057.0,-2626873.0
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2020-12-31,2020,1099351.0,430855.0,123811.0,581037.0,347310.0,526415.0,1779705.0,717133.0,-496293.0,-75773.0,43929.0,-79500.0,100223.0
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2021-12-31,2021,1505231.0,601805.0,129693.0,799273.0,523161.0,744044.0,2016525.0,800183.0,-613588.0,-85456.0,20623.0,-108786.0,86317.0
