CNPJ,DT_REFER,TIPO_RELATORIO,ANO,VERSAO,ANO_REFER
00000000000191,2021-12-31,Sem Ressalva,2021,2,2021
00000208000100,2021-12-31,Sem Ressalva,2021,3,2021
00001180000126,2021-12-31,Sem Ressalva,2021,1,2021
00070698000111,2021-12-31,Sem Ressalva,2021,2,2021
00080671000100,2021-12-31,Sem Ressalva,2021,1,2021
00192769000159,2021-12-31,Sem Ressalva,2021,1,2021
00194724000113,2021-12-31,Sem Ressalva,2021,2,2021
00242184000104,2021-12-31,Sem Ressalva,2021,1,2021
00272185000193,2021-12-31,Sem Ressalva,2021,1,2021
00336701000104,2021-12-31,Sem Ressalva,2021,1,2021
00359742000108,2021-12-31,Sem Ressalva,2021,1,2021
00383281000109,2021-12-31,Sem Ressalva,2021,1,2021
00389481000179,2021-12-31,Sem Ressalva,2021,1,2021
00416968000101,2021-12-31,Sem Ressalva,2021,3,2021
00545378000170,2021-12-31,Sem Ressalva,2021,1,2021
00622416000141,2021-12-31,Sem Ressalva,2021,1,2021
00644907000193,2021-12-31,Sem Ressalva,2021,1,2021
00743065000127,2021-12-31,Sem Ressalva,2021,1,2021
00776574000156,2021-12-31,Sem Ressalva,2021,1,2021
00864214000106,2021-12-31,Sem Ressalva,2021,5,2021
00897864000158,2021-12-31,Com Ressalva,2021,1,2021
00924429000175,2021-12-31,Sem Ressalva,2021,1,2021
00938574000105,2021-12-31,Sem Ressalva,2021,1,2021
00974211000125,2021-12-31,Sem Ressalva,2021,1,2021
00979969000156,2021-12-31,Sem Ressalva,2021,1,2021
01027058000191,2021-12-31,Sem Ressalva,2021,2,2021
01083200000118,2021-12-31,Sem Ressalva,2021,1,2021
01104937000170,2021-12-31,Sem Ressalva,2021,5,2021
01107327000120,2021-12-31,Sem Ressalva,2021,1,2021
01258944000126,2021-12-31,Sem Ressalva,2021,1,2021
01319044000141,2021-12-31,Sem Ressalva,2021,1,2021
01417222000177,2021-12-31,Sem Ressalva,2021,1,2021
01468594000122,2021-12-31,Sem Ressalva,2021,1,2021
01543032000104,2021-12-31,Sem Ressalva,2021,1,2021
01545826000107,2021-12-31,Sem Ressalva,2021,1,2021
01548981000179,2021-12-31,Sem Ressalva,2021,1,2021
01599101000193,2021-12-31,Sem Ressalva,2021,1,2021
01616929000102,2021-12-31,Sem Ressalva,2021,3,2021
01838723000127,2021-12-31,Sem Ressalva,2021,1,2021
01851771000155,2021-12-31,Sem Ressalva,2021,2,2021
01896779000138,2021-12-31,Sem Ressalva,2021,2,2021
01917818000136,2021-12-31,Sem Ressalva,2021,1,2021
01938783000111,2021-12-31,Sem Ressalva,2021,1,2021
01957772000189,2021-12-31,Sem Ressalva,2021,1,2021
01968293000168,2021-12-31,Sem Ressalva,2021,1,2021
01971614000183,2021-12-31,Sem Ressalva,2021,1,2021
01989044000159,2021-12-31,Sem Ressalva,2021,2,2021
02016440000162,2021-12-31,Sem Ressalva,2021,1,2021
02041460000193,2021-12-31,Sem Ressalva,2021,1,2021
02062747000108,2021-12-31,Sem Ressalva,2021,1,2021
02105040000123,2021-12-31,Sem Ressalva,2021,1,2021
02149205000169,2021-12-31,Sem Ressalva,2021,1,2021
02162616000194,2021-12-31,Negativa de Opinião,2021,1,2021
02193750000152,2021-12-31,Sem Ressalva,2021,1,2021
02201787000185,2021-12-31,Sem Ressalva,2021,1,2021
02217319000107,2021-12-31,Sem Ressalva,2021,1,2021
02255187000108,2021-12-31,Sem Ressalva,2021,1,2021
02258422000197,2021-12-31,Sem Ressalva,2021,1,2021
02281836000137,2021-12-31,Sem Ressalva,2021,2,2021
02286479000108,2021-12-31,Sem Ressalva,2021,1,2021
02291077000193,2021-12-31,Sem Ressalva,2021,1,2021
02302100000106,2021-12-31,Sem Ressalva,2021,1,2021
02302101000142,2021-12-31,Sem Ressalva,2021,1,2021
02328280000197,2021-12-31,Sem Ressalva,2021,1,2021
02338534000158,2021-12-31,Sem Ressalva,2021,1,2021
02351144000118,2021-12-31,Sem Ressalva,2021,1,2021
02351877000152,2021-12-31,Sem Ressalva,2021,2,2021
02357251000153,2021-12-31,Sem Ressalva,2021,1,2021
02365069000144,2021-12-31,Sem Ressalva,2021,1,2021
02382073000110,2021-12-31,Sem Ressalva,2021,1,2021
02387241000160,2021-12-31,Sem Ressalva,2021,1,2021
02397080000196,2021-12-31,Sem Ressalva,2021,1,2021
02415408000150,2021-12-31,Sem Ressalva,2021,1,2021
02421421000111,2021-12-31,Sem Ressalva,2021,2,2021
02429144000193,2021-12-31,Sem Ressalva,2021,1,2021
02451848000162,2021-12-31,Sem Ressalva,2021,1,2021
02474103000119,2021-12-31,Sem Ressalva,2021,1,2021
02502844000166,2021-12-31,Sem Ressalva,2021,1,2021
02509186000134,2021-12-31,Sem Ressalva,2021,1,2021
02509491000126,2021-12-31,Sem Ressalva,2021,1,2021
02558157000162,2021-12-31,Sem Ressalva,2021,1,2021
02560878000107,2021-12-31,Sem Ressalva,2021,1,2021
02591787000139,2021-12-31,Sem Ressalva,2021,1,2021
02600854000134,2021-12-31,Sem Ressalva,2021,1,2021
02635522000195,2021-03-31,Sem Ressalva,2021,1,2021
02643896000152,2021-12-31,Sem Ressalva,2021,1,2021
02664042000152,2021-12-31,Sem Ressalva,2021,1,2021
02682287000102,2021-12-31,Sem Ressalva,2021,1,2021
02724983000134,2021-12-31,Sem Ressalva,2021,1,2021
02736470000143,2021-12-31,Sem Ressalva,2021,1,2021
02762113000150,2021-12-31,Sem Ressalva,2021,1,2021
02762121000104,2021-12-31,Sem Ressalva,2021,1,2021
02762124000130,2021-12-31,Sem Ressalva,2021,2,2021
02773542000122,2021-12-31,Sem Ressalva,2021,2,2021
02783423000150,2021-12-31,Sem Ressalva,2021,1,2021
02796775000140,2021-12-31,Sem Ressalva,2021,1,2021
02800026000140,2021-12-31,Sem Ressalva,2021,1,2021
02846056000197,2021-12-31,Sem Ressalva,2021,1,2021
02860694000162,2021-12-31,Sem Ressalva,2021,1,2021
02916265000160,2021-12-31,Sem Ressalva,2021,1,2021
02919555000167,2021-12-31,Sem Ressalva,2021,2,2021
02932074000191,2021-12-31,Sem Ressalva,2021,1,2021
02950811000189,2021-12-31,Sem Ressalva,2021,1,2021
02992449000109,2021-12-31,Sem Ressalva,2021,1,2021
02998301000181,2021-12-31,Sem Ressalva,2021,1,2021
02998611000104,2021-12-31,Sem Ressalva,2021,1,2021
03014553000191,2021-12-31,Sem Ressalva,2021,1,2021
03025305000146,2021-12-31,Sem Ressalva,2021,1,2021
03207703000183,2021-12-31,Sem Ressalva,2021,1,2021
03220438000173,2021-12-31,Sem Ressalva,2021,2,2021
03303999000136,2021-12-31,Com Ressalva,2021,1,2021
03342704000130,2021-12-31,Sem Ressalva,2021,3,2021
03378521000175,2021-12-31,Sem Ressalva,2021,1,2021
03467321000199,2021-12-31,Sem Ressalva,2021,2,2021
03494776000101,2021-12-31,Sem Ressalva,2021,1,2021
03538833000107,2021-12-31,Sem Ressalva,2021,1,2021
03758318000124,2021-12-31,Sem Ressalva,2021,1,2021
03767538000114,2021-12-31,Sem Ressalva,2021,1,2021
03795050000109,2021-12-31,Sem Ressalva,2021,1,2021
03802115000198,2021-12-31,Sem Ressalva,2021,1,2021
03818379000130,2021-12-31,Sem Ressalva,2021,1,2021
03820456000196,2021-12-31,Sem Ressalva,2021,1,2021
03847461000192,2021-12-31,Sem Ressalva,2021,1,2021
03853896000140,2021-12-31,Sem Ressalva,2021,1,2021
03953509000147,2021-12-31,Sem Ressalva,2021,1,2021
03983431000103,2021-12-31,Sem Ressalva,2021,1,2021
04030182000102,2021-12-31,Sem Ressalva,2021,1,2021
04031213000131,2021-12-31,Sem Ressalva,2021,1,2021
04032433000180,2021-12-31,Sem Ressalva,2021,1,2021
