Posicao,Companhia-ano,Percentil,Componentes
1,BTG PACTUAL COMMODITIES SERTRADING S.A. (2025),0.999,DEPI; AQI; SGAI
2,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2022),0.996,SGAI; GMI; AQI
3,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL (2024),0.989,SGAI; GMI; LVGI
4,INFRACOMMERCE CXAAS S.A. (2024),0.982,SGAI; LVGI; TATA
5,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2021),0.98,DSRI; DEPI; GMI
6,GRUPO TOKY S.A. (2021),0.973,DSRI; DEPI; LVGI
7,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2023),0.966,GMI; SGAI; DEPI
8,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2021),0.965,DEPI; SGI; DSRI
9,ENJOEI S.A. (2025),0.955,DSRI; LVGI; AQI
10,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2022),0.954,LVGI; GMI; SGAI
