Posicao,Companhia-ano,Taxa de selecao (%)
1,BTG PACTUAL COMMODITIES SERTRADING S.A. (2025),100.0
2,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2022),100.0
3,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL (2024),100.0
4,INFRACOMMERCE CXAAS S.A. (2024),100.0
5,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2021),100.0
6,GRUPO TOKY S.A. (2021),100.0
7,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2023),100.0
8,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2021),100.0
9,ENJOEI S.A. (2025),94.0
10,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2022),96.0
